structureId,depositionDate,releaseDate
"1AOI","1997-07-03","1998-09-30"
"1EQZ","2000-04-06","2000-04-17"
"1F66","2000-06-20","2000-11-27"
"1ID3","2001-04-03","2001-09-28"
"1KX3","2002-01-31","2002-12-25"
"1KX4","2002-01-31","2002-12-25"
"1KX5","2002-01-31","2002-12-25"
"1P34","2003-04-17","2004-02-24"
"1P3A","2003-04-17","2004-02-24"
"1P3B","2003-04-17","2004-02-24"
"1P3F","2003-04-17","2004-02-24"
"1P3G","2003-04-17","2004-02-24"
"1P3I","2003-04-17","2004-02-24"
"1P3K","2003-04-17","2004-02-24"
"1P3L","2003-04-17","2004-02-24"
"1P3M","2003-04-17","2004-02-24"
"1P3O","2003-04-17","2004-02-24"
"1P3P","2003-04-17","2004-02-24"
"1U35","2004-07-20","2005-09-27"
"1ZBB","2005-04-08","2005-07-12"
"2CV5","2005-05-31","2005-06-28"
"2F8N","2005-12-02","2006-05-23"
"2FJ7","2005-12-31","2006-09-26"
"2NQB","2006-10-30","2007-09-11"
"2NZD","2006-11-23","2007-04-10"
"2PYO","2007-05-16","2007-11-06"
"3A6N","2009-09-04","2010-05-26"
"3AFA","2010-02-24","2010-05-26"
"3AN2","2010-08-27","2011-07-20"
"3AV1","2011-02-18","2011-06-01"
"3AV2","2011-02-18","2011-06-01"
"3AYW","2011-05-19","2011-09-21"
"3AZE","2011-05-25","2011-09-21"
"3AZF","2011-05-25","2011-09-21"
"3AZG","2011-05-25","2011-09-21"
"3AZH","2011-05-25","2011-09-21"
"3AZI","2011-05-25","2011-09-21"
"3AZJ","2011-05-25","2011-09-21"
"3AZK","2011-05-25","2011-09-21"
"3AZL","2011-05-25","2011-09-21"
"3AZM","2011-05-25","2011-09-21"
"3AZN","2011-05-25","2011-09-21"
"3B6F","2007-10-29","2007-12-25"
"3B6G","2007-10-29","2007-12-25"
"3C1B","2008-01-22","2008-10-07"
"3C1C","2008-01-22","2008-10-07"
"3KUY","2009-11-28","2010-01-05"
"3KWQ","2009-12-01","2010-05-12"
"3KXB","2009-12-02","2010-06-23"
"3LEL","2010-01-15","2010-05-19"
"3LJA","2010-01-26","2010-04-14"
"3LZ0","2010-03-01","2010-09-15"
"3LZ1","2010-03-01","2010-09-15"
"3MGP","2010-04-07","2010-06-16"
"3MGQ","2010-04-07","2010-06-16"
"3MGR","2010-04-07","2010-06-16"
"3MGS","2010-04-07","2010-06-16"
"3MNN","2010-04-22","2011-04-06"
"3MVD","2010-05-04","2010-08-25"
"3O62","2010-07-28","2011-01-05"
"3REH","2011-04-04","2012-03-14"
"3REI","2011-04-04","2012-03-14"
"3REJ","2011-04-04","2012-03-14"
"3REK","2011-04-04","2012-03-14"
"3REL","2011-04-04","2012-03-14"
"3TU4","2011-09-15","2011-11-23"
"3UT9","2011-11-25","2012-04-11"
"3UTA","2011-11-25","2012-04-11"
"3UTB","2011-11-25","2012-04-11"
"3W96","2013-04-01","2013-08-28"
"3W97","2013-04-01","2013-08-28"
"3W98","2013-04-01","2013-08-28"
"3W99","2013-04-01","2013-08-28"
"3WA9","2013-04-30","2013-12-18"
"3WAA","2013-04-30","2013-12-18"
"3WKJ","2013-10-22","2014-04-09"
"3WTP","2014-04-14","2014-12-03"
"3X1S","2014-11-27","2015-09-23"
"3X1T","2014-11-27","2015-09-23"
"3X1U","2014-11-28","2015-09-23"
"3X1V","2014-11-28","2015-09-23"
"4JJN","2013-03-08","2013-05-15"
"4KGC","2013-04-29","2014-03-26"
"4KUD","2013-05-22","2013-08-07"
"4LD9","2013-06-24","2013-08-14"
"4QLC","2014-06-11","2015-07-22"
"4R8P","2014-09-02","2014-11-05"
"4X23","2014-11-25","2014-12-10"
"4XUJ","2015-01-26","2016-01-27"
"4XZQ","2015-02-04","2015-10-14"
"4YM5","2015-03-06","2015-12-02"
"4YM6","2015-03-06","2015-12-02"
"4YS3","2015-03-16","2015-10-14"
"4Z5T","2015-04-03","2016-02-10"
"4Z66","2015-04-03","2015-10-14"
"4ZUX","2015-05-17","2016-02-24"
"5AV5","2015-06-11","2015-12-23"
"5AV6","2015-06-12","2015-12-23"
"5AV8","2015-06-12","2015-12-23"
"5AV9","2015-06-12","2015-12-23"
"5AVB","2015-06-12","2015-12-23"
"5AVC","2015-06-12","2015-12-23"
"5AY8","2015-08-10","2016-04-06"
"5B0Y","2015-11-13","2016-01-27"
"5B0Z","2015-11-14","2016-01-27"
"5B1L","2015-12-08","2017-02-15"
"5B1M","2015-12-08","2017-02-15"
"5B24","2015-12-31","2016-03-02"
"5B2I","2016-01-16","2016-06-15"
"5B2J","2016-01-18","2016-06-15"
"5B31","2016-02-08","2016-08-03"
"5B32","2016-02-08","2016-08-03"
"5B33","2016-02-08","2016-08-03"
"5B40","2016-03-22","2016-06-22"
"5CP6","2015-07-21","2016-06-01"
"5CPI","2015-07-21","2015-10-28"
"5CPJ","2015-07-21","2015-10-28"
"5CPK","2015-07-21","2015-10-28"
"5DNM","2015-09-10","2016-09-14"
"5DNN","2015-09-10","2016-09-14"
"5E5A","2015-10-08","2016-02-03"
"5F99","2015-12-09","2016-02-03"
"5GSE","2016-08-16","2017-05-03"
"5GSU","2016-08-17","2017-02-15"
"5GT0","2016-08-18","2017-02-15"
"5GT3","2016-08-18","2017-02-15"
"5GTC","2016-08-19","2017-06-28"
"5GXQ","2016-09-19","2017-04-19"
"5HQ2","2016-01-21","2016-03-23"
"5JRG","2016-05-06","2017-03-08"
"5KGF","2016-06-13","2016-07-27"
"5MLU","2016-12-07","2017-05-10"
"5NL0","2017-04-03","2017-05-17"
"5O9G","2017-06-19","2017-10-11"
"5OMX","2017-08-02","2017-11-15"
"5ONG","2017-08-03","2017-11-22"
"5ONW","2017-08-04","2017-11-22"
"5OXV","2017-09-07","2017-10-11"
"5OY7","2017-09-07","2017-09-20"
"5X0X","2017-01-23","2017-04-19"
"5X0Y","2017-01-23","2017-04-19"
"5X7X","2017-02-27","2017-04-19"
"5XF3","2017-04-07","2017-10-11"
"5XF4","2017-04-07","2017-10-11"
"5XF5","2017-04-07","2017-10-11"
"5XF6","2017-04-07","2017-10-11"
"5XM0","2017-05-12","2018-03-07"
"5XM1","2017-05-12","2018-03-07"
"6BUZ","2017-12-11","2017-12-20"
"6C0W","2018-01-02","2018-01-17"
"6ESF","2017-10-20","2017-12-20"
"6ESG","2017-10-20","2017-12-20"
"6ESH","2017-10-20","2017-12-20"
"6ESI","2017-10-20","2017-12-20"
"6ETX","2017-10-27","2018-04-25"
"6FML","2018-01-31","2018-04-25"
"6FQ5","2018-02-13","2018-04-18"
"6FQ6","2018-02-13","2018-04-18"
"6FQ8","2018-02-13","2018-04-18"
